Type,No.,Address,City,St.,Opened,Closed
Discount Store,1378,2015 Lincolnway East,Goshen,IN,"October 31, 1989","January 28, 1997"
Supercenter,1378,2304 Lincolnway East,Goshen,IN,"January 29, 1997",
Discount Store,1566,"Market Centre, 4024 Elkhart Road",Goshen,IN,"October 29, 1990","September 26, 2017"
Supercenter,1566,"Market Centre, 4024 Elkhart Road",Goshen,IN,"September 27, 2017",
Discount Store,902,25 Putnam County Plaza,Greencastle,IN,"March 4, 1986","May 15, 2001"
Supercenter,902,1750 East Indianapolis Road,Greencastle,IN,"May 16, 2001",
Discount Store,1141,1675 North State Street,Greenfield,IN,"June 30, 1988","October 23, 2001"
Supercenter,1141,1965 North State Street,Greenfield,IN,"October 24, 2001",
Discount Store,1180,125 Greensburg Crossing,Greensburg,IN,"March 1, 1988","August 17, 1999"
Supercenter,1180,790 Greensburg Commons Shopping Center,Greensburg,IN,"August 18, 1999",
Supercenter,3435,1133 North Emerson Road,Greenwood,IN,"April 19, 2006",
Supercenter,5483,882 South Route 135,Greenwood,IN,"May 20, 2015",
Discount Store,2818,1828 165th Street,Hammond,IN,"June 14, 2000","May 19, 2015"
Supercenter,2818,7850 Cabela Drive,Hammond,IN,"May 20, 2015",
Supercenter,4631,1100 5th Avenue,Hammond,IN,"October 26, 2011",
Discount Store,2311,2800 Walmart Drive,Huntington,IN,"July 25, 1995","September 19, 2006"
Supercenter,2311,2800 Walmart Drive,Huntington,IN,"September 20, 2006",
Discount Store,1459,7245 US Highway 31 South,Indianapolis,IN,"May 30, 1990","July 25, 2000"
Supercenter,1459,7245 US Highway 31 South,Indianapolis,IN,"July 26, 2000",
Discount Store,1518,"College Park Plaza, 3221 West 86th Street",Indianapolis,IN,"October 1, 1990","June 20, 2000"
Supercenter,1518,"College Park Plaza, 3221 West 86th Street",Indianapolis,IN,"June 21, 2000",
Discount Store,1580,10617 East Washington Street,Indianapolis,IN,"October 1, 1991","October 24, 2000"
Supercenter,1580,10617 East Washington Street,Indianapolis,IN,"October 25, 2000",
Supercenter,2787,7325 North Keystone Avenue,Indianapolis,IN,"March 15, 2000",
Supercenter,3781,4545 Lafayette Road,Indianapolis,IN,"January 23, 2008",
Neighborhood Market,4053,5555 Michigan Road,Indianapolis,IN,"August 13, 2014",
Neighborhood Market,4054,4837 South Kentucky Avenue,Indianapolis,IN,"September 30, 2015",
Neighborhood Market,5405,9920 East 30th Street,Indianapolis,IN,"August 11, 2004",2008
Neighborhood Market,5406,8010 East 38th Street,Indianapolis,IN,"August 11, 2004","July 12, 2019"
Neighborhood Market,5408,3805 South Keystone Avenue,Indianapolis,IN,"July 7, 2004",
Supercenter,5443,4650 South Emerson Avenue,Indianapolis,IN,"May 25, 2005",
Neighborhood Market,5804,6013 West 10th Street,Indianapolis,IN,"September 18, 2013",
Neighborhood Market,6390,5550 Fall Creek Parkway North,Indianapolis,IN,"October 1, 2014",
Discount Store,870,3875 Newton Street,Jasper,IN,"October 22, 1985","August 17, 1999"
Supercenter,870,4040 Newton Street,Jasper,IN,"August 18, 1999",
Discount Store,1388,510 Fairview Boulevard,Kendallville,IN,"December 30, 1989","August 24, 2004"
Supercenter,1388,2501 East North Street,Kendallville,IN,"August 25, 2004",
Discount Store,1962,1920 East Markland Avenue,Kokomo,IN,"August 28, 1993","October 24, 2000"
Supercenter,1962,1920 East Markland Avenue,Kokomo,IN,"October 25, 2000",
Discount Store,2276,333 Boyd Boulevard,La Porte,IN,"January 3, 1995","July 29, 2008"
Supercenter,2276,333 Boyd Boulevard,La Porte,IN,"July 30, 2008",
Discount Store,1547,3861 State Road 26 East,Lafayette,IN,"January 30, 1991","July 18, 2000"
Supercenter,1547,4205 Commerce Drive,Lafayette,IN,"July 19, 2000",
Supercenter,3851,2347 Veterans Memorial Parkway South,Lafayette,IN,"October 18, 2006",
Supercenter,3529,10735 Pendleton Pike,Lawrence,IN,"March 19, 2003",
Discount Store,1275,2440 North Lebanon Street,Lebanon,IN,"April 3, 1989","October 13, 2009"
Supercenter,1275,2440 North Lebanon Street,Lebanon,IN,"October 14, 2009",
Discount Store,1002,2135 Highway 54 East,Linton,IN,"March 3, 1987","August 15, 1995"
Supercenter,1002,2251 Highway 54 East,Linton,IN,"August 16, 1995",
Discount Store,1329,3919 East Market Street,Logansport,IN,"November 16, 1989","October 12, 2010"
Supercenter,1329,240 Mall Road,Logansport,IN,"October 13, 2010",
Discount Store,1327,"River Pointe Mall, 405 East Clifty Drive",Madison,IN,"April 3, 1989","January 24, 1995"
Supercenter,1327,567 Ivy Tech Drive,Madison,IN,"January 25, 1995",
Discount Store,1294,3240 South Western Avenue,Marion,IN,"April 3, 1989","October 28, 1997"
Supercenter,1294,3240 South Western Avenue,Marion,IN,"October 29, 1997",
Discount Store,1356,1800 South Ohio Street,Martinsville,IN,"October 2, 1989","May 18, 2004"
Supercenter,1356,410 Grand Valley Boulevard,Martinsville,IN,"May 19, 2004",
Discount Store,1618,2936 East 79th Avenue,Merrillville,IN,"September 11, 1991","April 20, 2004"
Supercenter,1618,2936 East 79th Avenue,Merrillville,IN,"April 21, 2004",
Discount Store,1487,4301 South Franklin Street,Michigan City,IN,"September 4, 1990","March 4, 2008"
Supercenter,1487,5780 Franklin Street,Michigan City,IN,"March 5, 2008",
Supercenter,2678,316 Indian Ridge Road,Mishawaka,IN,"March 17, 1999",
Supercenter,2771,1088 West Broadway,Monticello,IN,"March 15, 2000",
Discount Store,1665,4801 West Clara Lane,Muncie,IN,"June 1, 1991","October 23, 2001"
Supercenter,1665,4801 West Clara Lane,Muncie,IN,"October 24, 2001",
Supercenter,3747,1501 East 29th Street,Muncie,IN,"April 19, 2006",
Supercenter,2691,2910 Grant Line Road,New Albany,IN,"June 19, 2002",
Discount Store,1758,709 South Memorial Drive,New Castle,IN,"September 26, 1992","March 18, 2003"
Supercenter,1758,3167 South State Road 3,New Castle,IN,"March 19, 2003",
Supercenter,5728,8599 High Pointe Drive,Newburgh,IN,"August 19, 2009",
Discount Store,923,2202 Pleasant Street,Noblesville,IN,"April 29, 1986","February 10, 1998"
Supercenter,923,16865 Clover Road,Noblesville,IN,"February 11, 1998",
Discount Store,1157,2110 North State Highway,North Vernon,IN,"May 3, 1988","September 11, 2012"
Supercenter,1157,2410 North Highway 3,North Vernon,IN,"September 12, 2012",
Supercenter,2563,735 North Gospel Street,Paoli,IN,"August 13, 1997",
Discount Store,828,"Hendricks County Plaza, 11125 West Washington Street",Plainfield,IN,"October 22, 1985","March 15, 1990"
Discount Store,828,"Wal-Mart Plaza, 2575 East Main Street",Plainfield,IN,"March 16, 1990","October 25, 2005"
Supercenter,828,2373 East Main Street,Plainfield,IN,"October 26, 2005",
Neighborhood Market,6470,900 West Main Street,Plainfield,IN,"September 10, 2014",
Discount Store,1978,2505 North Oak Road,Plymouth,IN,"October 26, 1993","April 20, 2004"
Supercenter,1978,2505 North Oak Road,Plymouth,IN,"April 21, 2004",
Discount Store,2544,6087 US Highway 6,Portage,IN,"October 29, 1997","May 2, 2006"
Supercenter,2544,6087 US Highway 6,Portage,IN,"May 3, 2006",
Discount Store,2388,1600 North Meridian Street,Portland,IN,"November 1, 1995","July 18, 2006"
Supercenter,2388,950 West Votaw Street,Portland,IN,"July 19, 2006",
Discount Store,1783,2700 West Broadway Street,Princeton,IN,"June 2, 1992","May 20, 2008"
Supercenter,1783,2700 West Broadway Street,Princeton,IN,"May 21, 2008",
Pharmacy,7266,"Toyota Motor Manufacturing, 4924 South Maple Tree Drive",Princeton,IN,"December 16, 2013",
Discount Store,2020,905 South College Avenue,Rensselaer,IN,"October 19, 1993",
Discount Store,1745,3601 East Main Street,Richmond,IN,"January 30, 1992","March 13, 2001"
Supercenter,1745,3601 East Main Street,Richmond,IN,"March 14, 2001",
Discount Store,1639,2100 Peace Tree Village,Rochester,IN,"January 30, 1991","July 17, 2012"
Supercenter,1639,2395 Main Street,Rochester,IN,"July 18, 2012",
Discount Store,1262,1850 North Main Street,Rushville,IN,"November 17, 1988","February 28, 2018"
Supercenter,7087,1309 East Hackberry Street,Salem,IN,"November 16, 2016",
Discount Store,1576,1555 US Highway 41,Schererville,IN,"January 30, 1991",
Discount Store,1142,1326 North Gardner Street,Scottsburg,IN,"March 1, 1988","July 18, 1995"
Supercenter,1142,1618 West McClain Avenue,Scottsburg,IN,"July 19, 1995",
Discount Store,1033,1501 East Tipton Street,Seymour,IN,"June 16, 1987","January 24, 1995"
Supercenter,1033,1600 East Tipton Street,Seymour,IN,"January 25, 1995",
Discount Store,884,1800 East State Road 44,Shelbyville,IN,"March 18, 1986","October 28, 2003"
Supercenter,884,2500 Progress Parkway,Shelbyville,IN,"October 29, 2003",
Supercenter,2680,3701 Portage Road,South Bend,IN,"March 17, 1999","April 21, 2023"
Supercenter,3436,700 West Ireland Road,South Bend,IN,"January 19, 2007",
Discount Store,996,823 West Highway 46,Spencer,IN,"February 3, 1987",
Discount Store,617,757 West Wolfe Street,Sullivan,IN,"November 12, 1985",
Discount Store,1676,730 East Highway 66,Tell City,IN,"September 11, 1991","March 20, 2004"
Supercenter,1676,730 East Highway 66,Tell City,IN,"March 21, 2004",
Discount Store,1310,4700 US Highway 41,Terre Haute,IN,"May 2, 1989","August 15, 1995"
Supercenter,1310,5555 South US Highway 41,Terre Haute,IN,"August 16, 1995",
Supercenter,4235,2399 South State Road 46,Terre Haute,IN,"August 16, 2006",
Discount Store,1479,2500 Morthland Drive,Valparaiso,IN,"September 4, 1990",September 1996
Supercenter,1479,2400 Morthland Drive,Valparaiso,IN,September 1996,
Discount Store,492,2655 North 6th Street,Vincennes,IN,"October 18, 1983","March 26, 1996"
Supercenter,492,"Kimmell Crossing, 650 Kimmell Road",Vincennes,IN,"March 27, 1996",
Discount Store,1667,1550 North Cass Street,Wabash,IN,"October 1, 1991","March 4, 2008"
Supercenter,1667,1601 North Cass Street,Wabash,IN,"March 5, 2008",
Discount Store,1304,"Woodland Plaza, 3660 Commerce Drive",Warsaw,IN,"June 1, 1989","October 23, 2001"
Supercenter,1304,2501 Walton Boulevard,Warsaw,IN,"October 24, 2001",
Discount Store,1162,1 Cherry Tree Plaza,Washington,IN,"May 3, 1988","January 18, 2007"
Supercenter,1162,1801 South State Road 57,Washington,IN,"January 19, 2007",
Discount Store,2339,2801 Northwestern Avenue,West Lafayette,IN,"April 24, 1996","August 9, 2005"
Supercenter,2339,2801 Northwestern Avenue,West Lafayette,IN,"August 10, 2005",
Discount Store,1480,970 East Washington Street,Winchester,IN,"September 28, 1991","May 24, 2005"
Supercenter,1480,950 East Greenville Pike,Winchester,IN,"May 25, 2005",
Discount Store,978,2715 North Summit Street,Arkansas City,KS,"January 13, 1987","March 21, 2006"
Supercenter,978,2701 North Summit Street,Arkansas City,KS,"March 22, 2006",
Discount Store,1054,2002 Highway 59,Atchison,KS,"February 3, 1987","March 16, 2004"
Supercenter,1054,1920 South US Highway 73,Atchison,KS,"March 17, 2004",
Discount Store,346,1618 North Ohio Street,Augusta,KS,"December 2, 1980","June 11, 2013"
Supercenter,346,719 West 7th Avenue,Augusta,KS,"June 12, 2013",
Discount Store,208,2970 Military Avenue,Baxter Springs,KS,"April 4, 1978","April 28, 2015"
Discount Store,486,612 South 130th Street,Bonner Springs,KS,"October 4, 1983","October 29, 2002"
Supercenter,486,12801 Kansas Avenue,Bonner Springs,KS,"October 30, 2002",
Neighborhood Market,4353,505 Housatonic Street,Burlington,KS,"December 17, 2014","January 28, 2016"
Discount Store,111,1601 South Santa Fe Avenue,Chanute,KS,November 1975,1990
Discount Store,111,2700 South Santa Fe Avenue,Chanute,KS,1990,"June 24, 2003"
Supercenter,111,2700 South Santa Fe Avenue,Chanute,KS,"June 25, 2003",
Neighborhood Market,3369,900 East Ross Avenue,Clearwater,KS,"December 17, 2014","January 28, 2016"
Discount Store,42,900 East 8th Street,Coffeyville,KS,February 1973,"March 2, 1992"
Discount Store,42,1705 West 11th Street,Coffeyville,KS,"March 3, 1992","March 16, 2010"
Supercenter,42,1863 County Road 5300,Coffeyville,KS,"March 17, 2010",
Discount Store,1214,1915 South Range Avenue,Colby,KS,"February 2, 1989","May 16, 2006"
Supercenter,1214,115 West Willow Street,Colby,KS,"May 17, 2006",
Neighborhood Market,4360,705 North High School Avenue,Columbus,KS,"November 12, 2014","January 28, 2016"
Discount Store,1282,1502 Lincoln Street,Concordia,KS,"November 1, 1988","July 17, 2001"
Supercenter,1282,140 East College Drive,Concordia,KS,"July 18, 2001",
Discount Store,592,327 Red Powell Drive,Derby,KS,"August 2, 1984","November 1, 1992"
Discount Store,592,2020 North Southeast Boulevard,Derby,KS,"November 2, 1992","July 1, 1997"
Supercenter,592,2020 North Southeast Boulevard,Derby,KS,"July 2, 1997",
Neighborhood Market,3155,1106 South Rock Road,Derby,KS,"June 12, 2013",
Discount Store,372,2101 North 14th Avenue,Dodge City,KS,"March 10, 1981","August 12, 1997"
Supercenter,372,1905 North 14th Avenue,Dodge City,KS,"August 13, 1997",
Discount Store,186,"Central Avenue Village, 2730 West Central Avenue",El Dorado,KS,November 1977,"March 1, 1993"
Discount Store,186,2850 West Central Avenue,El Dorado,KS,"March 2, 1993","October 26, 2004"
Supercenter,186,301 South Village Road,El Dorado,KS,"October 27, 2004",
Neighborhood Market,4361,1105 East 15th Street,Ellsworth,KS,"April 27, 2015","January 28, 2016"
Discount Store,557,"Flinthills Mall, 1701 Industrial Road",Emporia,KS,"June 7, 1983","March 19, 1991"
Discount Store,557,2301 Industrial Road,Emporia,KS,"March 20, 1991","August 15, 2000"
Supercenter,557,2301 Industrial Road,Emporia,KS,"August 16, 2000",
Discount Store,39,"South Park Shopping Center, 2221 South Main Street",Fort Scott,KS,March 1972,February 1992
Discount Store,39,2400 South Main Street,Fort Scott,KS,February 1992,"April 17, 2007"
Supercenter,39,2500 South Main Street,Fort Scott,KS,"April 18, 2007",
Discount Store,652,"Garden City Plaza, 2310 East Kansas Avenue",Garden City,KS,"October 16, 1984","September 9, 1997"
Supercenter,652,3101 East Kansas Avenue,Garden City,KS,"September 10, 1997",
Neighborhood Market,4625,2424 North Taylor Avenue,Garden City,KS,"November 11, 2015",
Supercenter,5307,1725 East Santa Fe Street,Gardner,KS,"October 18, 2006",
Supercenter,3103,18631 West Kellogg Drive,Goddard,KS,"January 11, 2013",
Supercenter,2562,2160 Commerce Road,Goodland,KS,"August 13, 1997",
Discount Store,770,3503 10th Street,Great Bend,KS,"April 30, 1985","April 13, 2004"
Supercenter,770,3503 10th Street,Great Bend,KS,"April 14, 2004",
Discount Store,664,3300 Vine Street,Hays,KS,"October 30, 1984","October 24, 2000"
Supercenter,664,4301 Vine Street,Hays,KS,"October 25, 2000",
Discount Store,342,2207 Iowa Street,Hiawatha,KS,"November 18, 1980","March 21, 2006"
Supercenter,342,701 Hopi Street,Hiawatha,KS,"March 22, 2006",
Neighborhood Market,4651,605 Orchard Drive,Hillsboro,KS,"April 8, 2015","January 28, 2016"
Discount Store,378,209 South Arizona Avenue,Holton,KS,"September 29, 1981","July 12, 2016"
Supercenter,378,427 South Arizona Avenue,Holton,KS,"July 13, 2016",
Discount Store,794,"Hutchinson City Mall, 1500 East 11th Avenue",Hutchinson,KS,"July 16, 1985","August 18, 1994"
Discount Store,794,1905 East 17th Avenue,Hutchinson,KS,"August 19, 1994","October 22, 2002"
Supercenter,794,1905 East 17th Avenue,Hutchinson,KS,"October 23, 2002",
Supercenter,2893,121 South Peter Pan Road,Independence,KS,"July 19, 2000",
Discount Store,1187,1918 North State Street,Iola,KS,"April 3, 1989","May 8, 2007"
Supercenter,1187,2200 North State Street,Iola,KS,"May 9, 2007",
Discount Store,43,1025 South Washington Street,Junction City,KS,"May 9, 1972","February 19, 1992"
Discount Store,43,"Cedar Point Place, 521 East Chestnut Street",Junction City,KS,"February 20, 1992","March 28, 2000"
Supercenter,43,"Cedar Point Place, 521 East Chestnut Street",Junction City,KS,"March 29, 2000",
Neighborhood Market,4626,1723 McFarland Road,Junction City,KS,"November 11, 2015",
Discount Store,1151,"Plaza West, 6565 State Avenue",Kansas City,KS,"November 17, 1987","October 27, 2009"
Supercenter,1151,10824 Parallel Parkway,Kansas City,KS,"October 28, 2009",
Neighborhood Market,6172,2300 Metropolitan Avenue,Kansas City,KS,"September 10, 2014",
Discount Store,484,2727 Iowa Street,Lawrence,KS,"February 1, 1983","May 28, 1993"
Discount Store,484,3300 Iowa Street,Lawrence,KS,"May 29, 1993","September 12, 2006"
Supercenter,484,3300 Iowa Street,Lawrence,KS,"September 13, 2006",
Supercenter,5219,550 Congressional Drive,Lawrence,KS,"April 29, 2009",
Discount Store,26,1920 Spruce Street,Leavenworth,KS,November 1970,1992
Discount Store,26,3450 South 4th Street,Leavenworth,KS,1992,"July 14, 2009"
Supercenter,26,5000 10th Avenue,Leavenworth,KS,"July 15, 2009",
Discount Store,799,1601 North Kansas Avenue,Liberal,KS,"July 2, 1985","May 19, 1998"
Supercenter,799,250 East Tucker Road,Liberal,KS,"May 20, 1998",
Neighborhood Market,4628,712 North Western Avenue,Liberal,KS,"September 30, 2015","April 19, 2019"
Discount Store,35,628 Tuttle Creek Boulevard,Manhattan,KS,"October 12, 1971","March 16, 2004"
Supercenter,35,101 East Bluemont Avenue,Manhattan,KS,"March 17, 2004",
Discount Store,341,1115 US Highway 36 East,Marysville,KS,"November 18, 1980","April 12, 2005"
Supercenter,341,1174 Pony Express Highway,Marysville,KS,"April 13, 2005",
Discount Store,993,2210 East Kansas Street,McPherson,KS,"November 18, 1986","March 16, 2004"
Supercenter,993,205 South Centennial Drive,McPherson,KS,"March 17, 2004",
Discount Store,2428,1701 South Kansas Avenue,Newton,KS,"November 1, 1995","March 25, 2003"
Supercenter,2428,1701 South Kansas Avenue,Newton,KS,"March 26, 2003",
Discount Store,577,16630 West 135th Street,Olathe,KS,"August 2, 1984","June 18, 1996"
Discount Store,577,"Alden Shopping Center, 13600 South Alden Street",Olathe,KS,"June 19, 1996","July 10, 2001"
Supercenter,577,"Alden Shopping Center, 13600 South Alden Street",Olathe,KS,"July 11, 2001",
Neighborhood Market,4198,18555 West 151st Street,Olathe,KS,"October 2, 2013",
Supercenter,4475,395 North Highway 7,Olathe,KS,"May 21, 2008",
Discount Store,382,2204 South Princeton Circle Drive,Ottawa,KS,"March 3, 1981","July 18, 1995"
Supercenter,382,2101 South Princeton Street,Ottawa,KS,"July 19, 1995",
Discount Store,1599,11701 Metcalf Avenue,Overland Park,KS,"February 27, 1991","August 31, 2010"
